epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7357,1.28913,1.79929,1.03209,0.95366,0.25827,0.75222,0.49831,1.18092,2.25188,0.97303,0.000647059,0.000647059,0.000647059
2,22.475,1.19034,0.96921,1.02102,0.74061,0.52107,0.64999,0.43496,1.17068,2.01367,1.00652,0.0013019,0.0013019,0.0013019
3,31.0775,1.14903,0.88479,1.01075,0.79089,0.86446,0.88065,0.60088,1.13201,1.00995,1.01392,0.00194475,0.00194475,0.00194475
4,39.6562,1.15543,0.83853,1.00489,0.87475,0.8666,0.93088,0.62271,1.12202,0.85213,1.02258,0.001946,0.001946,0.001946
5,48.185,1.12261,0.80186,0.9909,0.87047,0.79723,0.90234,0.62093,1.12647,0.87292,1.03303,0.001928,0.001928,0.001928
6,57.0178,1.0995,0.75086,0.98446,0.87439,0.88047,0.94435,0.6551,1.09543,0.74897,1.00665,0.00191,0.00191,0.00191
7,65.7973,1.10543,0.74116,0.98923,0.84527,0.89648,0.91947,0.63805,1.1026,0.75133,1.01022,0.001892,0.001892,0.001892
8,74.3264,1.09967,0.73411,0.99255,0.87189,0.91676,0.95654,0.65803,1.12027,0.66441,1.01455,0.001874,0.001874,0.001874
9,83.0332,1.06465,0.69024,0.97197,0.88988,0.88834,0.94352,0.65763,1.06112,0.72458,1.01209,0.001856,0.001856,0.001856
10,91.9016,1.08024,0.67798,0.98428,0.86082,0.91747,0.95268,0.66803,1.07333,0.75086,1.01961,0.001838,0.001838,0.001838
11,100.699,1.0719,0.66767,0.98377,0.86322,0.89541,0.9421,0.67722,1.03356,0.66577,0.98796,0.00182,0.00182,0.00182
12,109.386,1.05038,0.64323,0.97088,0.87651,0.89382,0.94995,0.66862,1.0518,0.68948,0.99604,0.001802,0.001802,0.001802
13,118.092,1.05094,0.66239,0.97665,0.8926,0.89587,0.95439,0.69141,1.03047,0.6144,0.98222,0.001784,0.001784,0.001784
14,126.691,1.02516,0.63599,0.96261,0.86956,0.86126,0.92524,0.66155,1.07153,0.68373,0.99684,0.001766,0.001766,0.001766
15,135.201,1.02455,0.63479,0.96528,0.86709,0.8826,0.94506,0.67785,1.032,0.63517,0.99101,0.001748,0.001748,0.001748
16,143.989,1.01657,0.60455,0.95948,0.88782,0.90381,0.95434,0.67337,1.0928,0.66791,1.00916,0.00173,0.00173,0.00173
17,152.641,1.0297,0.6102,0.97181,0.89444,0.90288,0.9545,0.68173,1.07048,0.63867,1.00176,0.001712,0.001712,0.001712
18,161.456,1.04414,0.60471,0.97122,0.8752,0.89809,0.94871,0.66984,1.07021,0.64111,0.9949,0.001694,0.001694,0.001694
19,170.326,1.02763,0.58994,0.96458,0.90268,0.91072,0.96402,0.68373,1.05982,0.59194,0.98783,0.001676,0.001676,0.001676
20,178.952,1.00715,0.58277,0.95974,0.88009,0.90865,0.95536,0.67335,1.07186,0.72802,1.00894,0.001658,0.001658,0.001658
21,187.659,0.99891,0.5886,0.95778,0.8634,0.92743,0.95554,0.66985,1.05218,0.66724,0.99831,0.00164,0.00164,0.00164
